pclass,pgroup,survival,frequencies
Upper,Children,Survived,3
Upper,Children,Died,1
Upper,Female Adults,Survived,82
Upper,Female Adults,Died,2
Upper,Male Adults,Survived,36
Upper,Male Adults,Died,54
Upper,Seniors,Survived,1
Upper,Seniors,Died,7
Middle,Children,Survived,18
Middle,Children,Died,0
Middle,Female Adults,Survived,59
Middle,Female Adults,Died,6
Middle,Male Adults,Survived,6
Middle,Male Adults,Died,82
Middle,Seniors,Survived,0
Middle,Seniors,Died,2
Lower,Children,Survived,21
Lower,Children,Died,28
Lower,Female Adults,Survived,35
Lower,Female Adults,Died,43
Lower,Male Adults,Survived,29
Lower,Male Adults,Died,196
Lower,Seniors,Survived,0
Lower,Seniors,Died,3
